cluster,message_id,text,primary_label_guess,secondary_label_guess
0,1864e288-8a75-4426-8ce9-e9a12712e1ea,How to track order?,,
0,61dfc373-eaa3-4b83-8435-46081b3aecac,"human: Where is my Order 3220098 - ai: Your order #3220098 is confirmed! You have ordered the following products: - Underarm Roll On for Odour Control & Pigmentation - 🎁 Free Oil Control Shampoo - 15 ml - Exfoliating Body Wash with Lactic Acid - 236 ml - Salicylic Acid Body Wash for Acne Control - 236 ml We will ship your order within 48 hours. Once dispatched, you will receive an update via email and mobile. Please note that we take 3-7 days to deliver your order to your doorstep. If you have any further questions, feel free to ask! - human: Its already been 48hrs of placing the order then till now why the order is not shipped - ai: I understand your concern, and I apologize for the delay. Your order #3220098 is currently unfulfilled, which means it hasn't been shipped yet. Please rest assured that we are working to process your order as quickly as possible. If you have any further questions or need assistance, feel free to ask! When the order will be shipped",,
0,2fd73e73-993e-4892-ba2a-64f43ba05eb8,How to track order?,,
0,5bff818a-4c27-44d6-b05b-064d391e87a3,"human: Hi - ai: Hello! Welcome to Innovist. I am Innovist's Expert for skin and hair care products. Can you tell me for what specific product are you looking for? - human: I am having missing product - ai: I'm sorry to hear that you're missing a product. To assist you better, could you please share your contact number or email address? You can also raise a request for this issue at (https://innovist.com/apps/return_prime). Thank you for your understanding! - human: 9825058618 - ai: I understand how frustrating it can be to have a missing product, and I'm here to help you. Upon checking your order details, I found that you have placed more than one order. Here are your order numbers: - #3188630 - #3124677 - #3113492 Could you please let me know which order is missing a product? Thank you! - human: 3124677 - ai: I understand how concerning it is to have a missing product, and I'm here to help you. Upon checking your order details, I found that you have placed more than one order. Here are your order numbers: - #3188630 - #3124677 - #3113492 Could you please let me know which order is missing a product? Thank you! Shampoo of 3124677",,
0,2586666d-581d-4842-a014-33ce3279676f,"human: Can you call me - ai: Good evening! I understand that you would like a call, and I apologize for any inconvenience. Please reach out to us directly at chat@innovist.com or call us at +91-9711170970 between 10 am - 7 pm for assistance. Thank you! My lips like in two tone give me your best product",,
0,5de7cec9-c96a-472d-877d-b9a7bdc2fa79,human: Company name - ai: Hello! Hope you’re doing well this evening. How may I assist you today? My order company name,,
0,60f21006-dfd1-4d59-89fe-39d5e7ca32c6,"human: 3199363 - ai: Thank you for providing your contact number! Our team will reach out to you shortly regarding your order #3199363. If you have any other questions in the meantime, feel free to ask! - human: Hello - ai: Hello! Hope you’re doing well. How may I assist you today? - human: Ok - ai: Glad I could help! If you have any more questions or need assistance, feel free to ask. - human: 3199363 - ai: If you have any questions or need assistance with our products, feel free to ask! How to track order",,
0,568df1fe-ccd9-45fc-bfe7-759322d227ce,How to track order?,,
0,7f0b5636-69d1-4051-a1ac-bc78def02d12,Hi,,
0,a4ad73a0-913d-4eaf-8c51-f3b48e0be600,"human: How to track order? - ai: I'm sorry, but I can't find any information associated with your order. Could you please share your contact number or email ID so I can assist you further? Just a reminder, we take 3-7 days to deliver your order to your doorstep. Thank you for your understanding! rohanvijay990@gmail.com 9380163998",,
